TIC,Type,per_vsx,label,vsx_token,expected_class,per_det,brf_class,period_match,grupo,vis_verdict,vis_shape,vis_notes,vis_date,vis_multi
95665973,DCEP,4.254832,1,DCEP,CEP,,,,acuerdo,unconstrained,,,2026-09-05,True
101706896,EB/KE:,1.621924,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
102604645,HMXB/BHXB+ELL,5.599824,1,HMXB,,,,,acuerdo,unconstrained,,el periodo no cierra,2026-09-05,True
104741817,RS,0.0183627,1,RS,,,,,acuerdo,bad,,el periodo esta,2026-09-05,False
105517114,BCEP,0.22434,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
106407886,EB,2.48599,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
110625688,E,2.85876,1,E,E,,,,acuerdo,bad,,,2026-09-05,False
111613963,DCEPS,2.572599,1,DCEPS,CEP,,,,acuerdo,maybe,,mitad period ELL?,2026-09-05,False
112812656,BCEP,0.2073088,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
114970688,EB:,4.0161,1,EB,E,,,,acuerdo,ok,,,2026-09-05,False
115730751,HB,8.8617,1,HB,,,,,acuerdo,ok,,fuera de la taxonomia,2026-09-05,False
116066367,E,1.48763,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
116995588,E,1.47603,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
119207375,PULS,0.8849,1,PULS,,,,,acuerdo,ok,,,2026-09-05,False
120801170,E,1.63527,1,E,E,,,,acuerdo,ok,,,2026-09-05,False
121069315,RS,9.484,1,RS,,,,,acuerdo,unconstrained,,,2026-09-05,True
127573149,DSCT|GDOR|SXPHE,1.41436,1,DSCT,DST,,,,acuerdo,maybe,,mitad per ELL?,2026-09-05,False
127977898,EA,2.69894,1,EA,E,,,,acuerdo,ok,,,2026-09-05,False
128383551,VAR,0.11488,1,VAR,,,,,acuerdo,bad,,mal periodo,2026-09-05,False
128565725,ELL,1.0189569,1,ELL,ELL,,,,acuerdo,ok,,3 systems?,2026-09-05,True
129928192,DCEP,5.2508,1,DCEP,CEP,,,,acuerdo,maybe,,,2026-09-05,True
130212230,BCEP,0.145602,1,BCEP,,,,,acuerdo,ok,,,2026-09-05,False
136719100,CWB:,1.7659,1,CWB,CEP,,,,acuerdo,ok,,,2026-09-05,True
137276004,DSCT|GDOR|SXPHE,3.79129,1,DSCT,DST,,,,acuerdo,ok,,,2026-09-05,False
139600098,VAR,1.05876,1,VAR,,,,,acuerdo,ok,,No entiendo esta curva,2026-09-05,True
139783833,ESD,5.9844,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
140091538,DCEP,5.516724,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,False
141292310,BCEP,0.220007,1,BCEP,,,,,acuerdo,ok,,pocos puntos,2026-09-05,False
141457686,DCEPS,4.6441,1,DCEPS,CEP,,,,acuerdo,ok,,,2026-09-05,False
141497319,ELL,2.80945,1,ELL,ELL,,,,acuerdo,ok,,,2026-09-05,False
141628857,DCEP(B),3.12776,1,DCEP,CEP,,,,acuerdo,maybe,,,2026-09-05,True
145408079,DCEP,5.4647817,1,DCEP,CEP,,,,acuerdo,ok,,,2026-09-05,False
148660950,ESD,2.2496,1,ESD,E,,,,acuerdo,ok,,,2026-09-05,False
