angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames
0.038673,OGLE-BLG-LPV-237989,4,261.256,-39.81022222222222,463772527,261.25599651402,-39.81023262548,0,,,17250144-3948367,0,J172501.45-394836.7,5960396978840589312,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.8953,0.027199,9.733,1.0,jhk,,,,,,,,,,,,,,,,,,261.25599651402,-39.81023262548,-11.442305951438334,-2.3056878642502374,[66],['hlsp_tess-spoc_tess_phot_0000000463772527-s0066_tess_v1_lc.fits']
0.088184,OGLE-GD-LPV-018680,4,278.35966666666667,-10.098833333333332,217729833,278.35967753782,-10.09885536718,0,,,18332631-1005557,0,,4155102858547521024,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,16.9528,0.00596,10.25,1.0,jhk,,,,,,,,,,,,,,,,,,278.35967753782,-10.09885536718,21.90391904889697,-0.6424322935412667,[80],['hlsp_tess-spoc_tess_phot_0000000217729833-s0080_tess_v1_lc.fits']
0.134974,OGLE-GD-LPV-016414,4,255.1798333333333,-47.381972222222224,122205843,255.17981210162,-47.38200684938,0,,,17004315-4722552,0,J170043.16-472255.2,5939039034140714112,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.8449,0.065836,9.342,1.0,jhk,,,,,,,,,,,,,,,,,,255.17981210162,-47.38200684938,-20.158913049406504,-3.188366966333174,[66],['hlsp_tess-spoc_tess_phot_0000000122205843-s0066_tess_v1_lc.fits']
0.171994,OGLE-GD-LPV-018950,4,279.0600833333333,5.07775,106774563,279.0601143383,5.0777864526,0,,476-084421,18361442+0504399,0,J183614.42+050439.8,4283893912559950848,38796579,0,STAR,tmgaia2,tmgaia2,-4.534,0.296,-13.867,0.254,gaia2,0.6021,0.1778,14.664,0.08,11.528,0.02998,9.628,0.032,rered,gaia2,,,,,,,,,,,1704.68,733.305,0.4554,0.0588,475.71,990.9,279.06009473879,5.07772674918,35.73566471302537,5.687354863149647,[80],['hlsp_tess-spoc_tess_phot_0000000106774563-s0080_tess_v1_lc.fits']
0.199996,OGLE-GD-LPV-002961,4,189.60891666666663,-61.33175000000001,338531279,189.60880106087,-61.33174677091,0,,,12382613-6119542,0,J123826.14-611954.1,6056292873963262208,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.2497,0.019535,9.777,1.0,jhk,,,,,,,,,,,,,,,,,,189.60880106087,-61.33174677091,-58.62738120418812,1.5006255172171905,"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000338531279-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000338531279-s0065_tess_v1_lc.fits']"
0.080918,OGLE-GD-LPV-000483,4,130.530625,-41.25186111111111,181141151,130.53060592846,-41.25184380094,0,,,08420736-4115067,0,J084207.34-411506.7,5525285867925852032,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.5325,0.012713,9.133,1.0,jhk,,,,,,,,,,,,,,,,,,130.53060592846,-41.25184380094,-98.81678516817948,0.5769584216885557,"[61, 62]","['hlsp_tess-spoc_tess_phot_0000000181141151-s0061_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000181141151-s0062_tess_v1_lc.fits']"
0.094262,OGLE-GD-LPV-024794,4,287.33883333333324,17.030055555555556,395154410,287.33881846599,17.03003356668,0,,536-091871,19092132+1701483,0,J190921.31+170147.9,4513538387859402112,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.1338,0.03568,8.969,1.0,jhk,,,,,,,,,,,,,,,,,,287.33881846599,17.03003356668,50.1116435892728,3.846596926291171,"[80, 81]","['hlsp_tess-spoc_tess_phot_0000000395154410-s0080_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000395154410-s0081_tess_v1_lc.fits']"
0.058625,OGLE-GD-LPV-024863,4,287.46225,16.416527777777777,395577072,287.46224563008,16.41651204166,0,,,19095094+1624593,0,J190950.92+162459.8,4513080372541275904,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.6627,0.022772,9.934,1.0,jhk,,,,,,,,,,,,,,,,,,287.46224563008,16.41651204166,49.61933647172268,3.46058465259523,"[80, 81]","['hlsp_tess-spoc_tess_phot_0000000395577072-s0080_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000395577072-s0081_tess_v1_lc.fits']"
0.124241,OGLE-GD-LPV-012439,4,246.39058333333327,-49.45238888888889,5331069,246.39055125153,-49.45241638576,0,,,16253373-4927085,0,J162533.70-492708.5,5941380203645400960,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,15.9392,0.010328,9.132,1.0,jhk,,,,,,,,,,,,,,,,,,246.39055125153,-49.45241638576,-25.54898360265421,-0.1487738359413827,[66],['hlsp_tess-spoc_tess_phot_0000000005331069-s0066_tess_v1_lc.fits']
0.195181,OGLE-GD-LPV-025030,4,287.7720833333333,14.306361111111112,396404087,287.77205878648,14.30631239016,0,,,19110530+1418230,0,J191105.31+141822.6,4320376911001713664,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.1818,0.037524,9.313,1.0,jhk,,,,,,,,,,,,,,,,,,287.77205878648,14.30631239016,47.88062734501762,2.22507013792493,"[80, 81]","['hlsp_tess-spoc_tess_phot_0000000396404087-s0080_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000396404087-s0081_tess_v1_lc.fits']"
