angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames,TPfPloter,sector_TPfPloter,delta
0.082619,5976242728053950592,261.52065451246,-33.43710956876,159471451,261.52068003032,-33.4371010112,0,7379-00532-1,283-122757,17260496-3326137,0,J172604.94-332613.6,5976242728053950592,16890266,0,STAR,tmgaia2,tmgaia2,-5.1,1.9,-2.2,1.9,tycho2,,,10.415,0.007,10.0374,0.000895,9.454,0.006,gbprp,splin,8830.0,,,,,,2.254,,,,257.087,,,,,,261.52065371688,-33.43711048343,-6.042867488664689,1.0883425225725354,1,[159471451],[66],['hlsp_tess-spoc_tess_phot_0000000159471451-s0066_tess_v1_lc.fits'],Gaia_TIC159471451_S66.dat,66,-3.9388939999999995
0.082631,5428789394583291776,138.65966189916,-39.73643664896,3123111,138.65968334764,-39.73645261156,0,7682-02503-1,252-033095,09143832-3944112,0,J091438.32-394411.1,5428789394583291776,18089176,0,STAR,tmgaia2,tmgaia2,-3.706,0.039,3.58,0.042,gaia2,0.3872,0.0273,10.692,0.006,10.635,0.000241,10.461,0.008,rered,gaia2,9860.0,123.0,,,,,9.202,,,,2398.59,160.615,0.3206,0.0063,150.17,171.06,138.6596625996,-39.73643719608,-95.92879453953633,6.24919523422755,1,[3123111],[62],['hlsp_tess-spoc_tess_phot_0000000003123111-s0062_tess_v1_lc.fits'],Gaia_TIC3123111_S62.dat,62,-5.069379
0.082636,2061209849653687296,305.89071266375,38.89463259943,14209735,305.89073113444,38.89465049484,0,3152-00423-1,645-093882,20233377+3853407,0,J202333.76+385340.9,2061209849653687296,50539974,0,STAR,tmgaia2,tmgaia2,-3.242,0.05,-4.005,0.062,gaia2,0.378,0.0318,10.722,0.009,10.701,0.001604,10.076,0.046,rered,gaia2,8450.0,129.0,,,,,21.618,,,,2448.49,194.33,0.8496,0.0577,179.44,209.22,305.89071320046,38.89463325178,77.17807784028544,0.8771615757584803,1,[14209735],"[81, 82]","['hlsp_tess-spoc_tess_phot_0000000014209735-s0081_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000014209735-s0082_tess_v1_lc.fits']",Gaia_TIC14209735_S81.dat,81,-2.81213
0.082651,6053761699449876608,185.75874154582,-63.58098422866,311332994,185.75879310771,-63.58098511157,0,8979-01676-1,133-077821,12230208-6334516,0,J122302.11-633451.5,6053761699449876608,30733536,0,STAR,tmgaia2,tmgaia2,-5.154,0.045,0.191,0.041,gaia2,0.2688,0.0315,10.707,0.008,10.2907,0.00046,9.468,0.066,rered,gaia2,7515.0,122.0,,,,,51.14,,,,3354.82,368.815,0.9824,0.0868,330.03,407.6,185.75874323503,-63.58098428998,-60.22130743958006,-0.88326441942237,1,[311332994],"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000311332994-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000311332994-s0065_tess_v1_lc.fits']",Gaia_TIC311332994_S64.dat,64,-5.251225
0.082653,6056124893538461312,197.16799721516065,-59.66776895931193,253485783,197.168042525,-59.66776707886,64136,8661-01751-1,152-111483,13084034-5940039,0,J130840.36-594003.8,6056124893538461312,28534052,0,STAR,tmgaia2,tmgaia2,-5.136,0.037,-0.429,0.046,gaia2,0.1788,0.0336,9.8,0.03,9.71987,0.0003,9.695,0.042,rered,gaia2,,,,,,,,,,,4636.48,745.465,0.8632,0.0414,637.31,853.62,197.16799873712,-59.66776892699,-54.89049135984498,3.131091674663221,1,[253485783],"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000253485783-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000253485783-s0065_tess_v1_lc.fits']",Gaia_TIC253485783_S64.dat,64,-4.03533
0.082697,5861181516334057600,186.23309913463424,-65.2110156733972,450383399,186.23315371846,-65.21101369249,60570,8983-01175-1,124-064099,12245596-6512396,0,J122455.96-651239.5,5861181516334057600,31850644,0,STAR,tmgaia2,tmgaia2,-5.136,0.046,-0.451,0.046,gaia2,0.3611,0.0313,6.92,0.03,6.85018,0.000686,6.838,0.024,rered,gaia2,,,,,,,,,,,2573.37,212.98,0.4867,0.0248,195.85,230.11,186.23310098147,-65.2110156331,-59.8438664267332,-2.482218759089025,1,[450383399],"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000450383399-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000450383399-s0065_tess_v1_lc.fits']",Gaia_TIC450383399_S64.dat,64,-2.9330249999999998
0.082706,5861217147386782464,187.4811947765808,-64.79002136986021,450992142,187.48124856774,-64.79001967939,60974,8983-02145-1,127-064885,12295550-6447241,0,J122955.49-644724.0,5861217147386782464,30762146,0,STAR,tmgaia2,tmgaia2,-5.141,0.051,-0.386,0.054,gaia2,0.4882,0.0348,8.41,0.03,8.32763,0.000539,8.21,0.028,rered,gaia2,,,,,,,,,,,1941.73,135.055,0.5705,0.0298,125.89,144.22,187.48119659815,-64.79002134169,-59.35754416490671,-2.013949340322767,1,[450992142],"[64, 65]","['hlsp_tess-spoc_tess_phot_0000000450992142-s0064_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000450992142-s0065_tess_v1_lc.fits']",Gaia_TIC450992142_S64.dat,64,-2.787514999999999
0.082726,2067421304373639552,307.06445298098,40.638816048,15561759,307.06446370085,40.63883753938,0,3156-01904-1,654-091125,20281547+4038196,0,J202815.46+403819.8,2067421304373639552,51803020,0,STAR,tmgaia2,tmgaia2,-1.834,0.047,-4.821,0.045,gaia2,0.5634,0.029,9.814,0.004,9.50811,0.000205,8.949,0.031,rered,gaia2,8739.0,123.0,,,,,22.786,,,,1688.07,84.735,0.7885,0.0374,80.58,88.89,307.06445329269,40.63881678208,79.12289415607344,1.1506932187108232,1,[15561759],"[41, 55, 75, 82]","['hlsp_tess-spoc_tess_phot_0000000015561759-s0041_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000015561759-s0055_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000015561759-s0075_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000015561759-s0082_tess_v1_lc.fits']",Gaia_TIC15561759_S41.dat,41,-5.068277999999999
0.082832,5876417036638829952,226.867908729,-60.28834015307,454553900,226.86794489833,-60.28832572938,0,9020-01965-1,149-156238,15072830-6017179,0,J150728.29-601717.9,5876417036638829952,31194645,0,STAR,tmgaia2,tmgaia2,-4.022,0.042,-3.247,0.054,gaia2,0.2416,0.0371,10.472,0.007,9.88498,0.000479,9.25,0.106,rered,gaia2,,,,,,,,,,,3662.95,521.645,1.3377,0.1165,452.22,591.07,226.86790995904,-60.28833971099,-40.9663095417716,-1.7406718092603166,1,[454553900],"[12, 65]","['hlsp_tess-spoc_tess_phot_0000000454553900-s0012_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000454553900-s0065_tess_v1_lc.fits']",Gaia_TIC454553900_S12.dat,12,-4.448241000000001
0.082873,5351125356417789312,160.96138886184127,-58.01634843069839,458739827,160.96142267446,-58.01636289374,0,8622-00476-1,160-054238,10435073-5800588,0,J104350.74-580058.7,5351125356417789312,27999814,0,STAR,tmgaia2,tmgaia2,-4.012,0.072,3.251,0.064,gaia2,0.2161,0.0425,10.017,0.005,9.89462,0.000564,9.583,0.051,rered,gaia2,9060.0,123.0,,,,,27.938,,,,3962.5,695.02,0.4514,0.0628,585.31,804.73,160.96139006259,-58.01634889582,-73.32303387155552,0.7708748782827276,1,[458739827],"[63, 64]","['hlsp_tess-spoc_tess_phot_0000000458739827-s0063_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000458739827-s0064_tess_v1_lc.fits']",Gaia_TIC458739827_S63.dat,63,-4.977024999999999
