TIC,sector,source,per,power,prominence,width,amplitude,brf_class,brf_prob,instability,sigma_brf,entropy,sigma_top,brf_class_raw,cube_idx,sector_class,final_class_tic,decision_step
145408079,61.0,LS,5.441949078391727,0.8781961630355676,0.8750000418055325,4.21783789589972,0.4082318395376205,CEP,0.945,0.0,0.0575054223530268,1.0335872,0.33604228,CEP,80307.0,CEP,CEP,2
172357941,71.0,LS,1.0927917484286604,0.984960654148038,0.9849524714077268,4.144082076833001,0.1518718618899583,CEP,0.822,0.0,0.0707095919942973,0.87768906,0.35569742,CEP,51389.0,CEP,CEP,2
172357941,72.0,LS,1.094289485317671,0.9895458008701374,0.9895430512357756,4.22006621546825,0.1438462547957897,CEP,0.807,0.0,0.1195512208218719,0.4966566,0.28773218,CEP,51393.0,CEP,CEP,2
207161872,65.0,LS,3.762593553722005,0.9859409260928172,0.985879001627446,4.477700014092989,0.2187545597553253,CEP,0.918,0.0,0.1922095356635564,0.16023302,0.09163476,CEP,71626.0,CEP,CEP,2
235781277,80.0,LS,10.170121447095324,0.8660201962,0.536731716874659,3.0923836870133528,0.5267466604709625,CEP,0.871,0.0,0.0716380792595669,1.1239992,0.32923388,CEP,135575.0,CEP,CEP,2
262859209,38.0,ACF,0.6319457316640182,0.9427049515241126,1.7328452268010206,40.68729992271962,0.2882245741784572,CEP,0.869,0.04,0.136987590678864,0.41632938,0.1984155,CEP,63987.0,CEP,CEP,2
274076553,81.0,ACF,2.118090576477698,0.8866644478937012,1.678467743076177,434.4395701913936,0.1117048505693674,CEP,0.528,0.0,0.1363454201651086,0.15291359,0.1205501,CEP,105414.0,Unconstrained,CEP,2
274076553,81.0,LS,2.1466510419637173,0.9245106640868216,0.924188435269782,4.469246380707773,0.1117048505693674,CEP,0.502,0.0,0.0129429517498907,0.049861245,0.028482238,CEP,105413.0,Unconstrained,CEP,2
274076553,82.0,ACF,2.127299278039118,0.862091561562224,1.65137205563896,442.8337296879049,0.1092853676527738,CEP,0.818,0.0,0.1330169071960403,0.14373162,0.10733648,CEP,105384.0,CEP,CEP,2
277719482,56.0,LS,5.80774871138933,0.9168005941793048,0.9163474844325588,4.341939424357406,0.2460361644625663,CEP,0.817,0.0,0.1018527643218386,0.88461924,0.3339711,CEP,82629.0,CEP,CEP,2
277719482,82.0,LS,5.874462437625942,0.9183832247572198,0.9167062105948924,4.591038185077196,0.2131184004247188,CEP,0.532,0.0,0.0945989429116414,0.056738213,0.03913342,CEP,82632.0,Unconstrained,CEP,2
277719482,83.0,LS,5.936360592266476,0.916472602245448,0.9082263224052046,4.446287380469585,0.2658720128238201,CEP,0.826,0.0,0.1733595062291076,0.437644,0.22214408,CEP,82633.0,CEP,CEP,2
285235783,58.0,LS,4.4697880708109095,0.860993357804733,0.8595822666783387,4.318310794369609,0.3869751095771789,CEP,0.836,0.06,0.1800352143331965,1.1204568,0.37398762,CEP,24590.0,CEP,CEP,2
285235783,78.0,LS,4.5112028872255685,0.8685482207203237,0.866461191570168,4.546610948065791,0.3804653882980346,CEP,0.98,0.0,0.0741035059899327,0.7130628,0.24629548,CEP,24594.0,CEP,CEP,2
304844648,12.0,ACF,1.645857685529336,0.8052181352709848,1.4518862254936042,36.96668294138938,0.4896589741110801,CEP,0.961,0.0,0.042270822088055,0.6122618,0.22706057,CEP,133993.0,CEP,CEP,2
304844648,39.0,ACF,1.6388975936206407,0.8851113830061274,1.6680893124731284,112.5397418672193,0.4712450876832008,CEP,0.994,0.0,0.0417025850517686,0.83768934,0.34808263,CEP,134003.0,CEP,CEP,2
314951512,57.0,LS,5.530188833804544,0.8632861235109962,0.8569325279412044,4.330200891334243,0.4475689679384231,CEP,0.607,0.04,0.2042561881559527,0.50263035,0.23196068,CEP,72885.0,Unconstrained,CEP,2
314951512,77.0,LS,5.395890803310014,0.879611605640512,0.8789238128125425,3.904264149135997,0.443342924118042,CEP,0.863,0.0,0.1696080186783631,0.26330382,0.15409824,CEP,72888.0,CEP,CEP,2
314951512,84.0,LS,5.364112195126532,0.8568415598663832,0.8545403937942887,4.458575082451716,0.4461363330483436,CEP,0.682,0.04,0.1817729968944782,0.3597126,0.13207257,CEP,73012.0,Unconstrained,CEP,2
329994323,56.0,LS,9.293352561582498,0.4068585177436103,0.3933598892636628,4.677132299879304,0.0766961043700575,CEP,0.827,0.12,0.2618474945459665,1.1591554,0.2595084,CEP,80041.0,CEP,CEP,2
331224359,56.0,LS,5.361466076331787,0.8756849484779202,0.8744207523700869,4.292700284298917,0.408073216676712,CEP,0.964,0.0,0.0634487383641314,1.2486831,0.3386859,CEP,97537.0,CEP,CEP,2
331224359,76.0,LS,5.415249823790966,0.8643085868426963,0.8640785376114594,4.504541347381746,0.4067516326904297,CEP,0.705,0.0,0.1206693598226161,0.8102294,0.30962774,CEP,97540.0,Unconstrained,CEP,2
338640317,12.0,LS,1.2651958456137546,0.0982151653099319,0.0974928542040332,4.244041148741871,0.0701156724244356,CEP,0.841,0.0,0.0875258224754272,0.36872792,0.08316615,CEP,40850.0,CEP,CEP,2
338640317,66.0,LS,8.303155108496869,0.4922474932507367,0.4828958683116562,4.307856565559632,0.0656382646411657,CEP,0.392,0.04,0.0829909296248692,0.15675229,0.11715135,CEP,40867.0,Unconstrained,CEP,2
343661464,16.0,LS,1.0571162105431724,0.9688074686813506,0.9687899625240554,4.049636489346085,0.0536115327849984,CEP,0.826,0.0,0.0851251220263442,1.0988677,0.33349833,CEP,56759.0,CEP,CEP,2
343661464,17.0,LS,1.0556100922283111,0.9740362318374378,0.9740283445910788,4.17044846660383,0.0514176953583955,CEP,0.855,0.0,0.077231796560743,0.8986166,0.32274628,CEP,56753.0,CEP,CEP,2
343661464,84.0,ACF,2.1111012048495468,0.8508032219771506,1.6781192611376174,225.66493769057217,0.0470911618322134,ELL,0.988,0.0,0.0053282642577109,0.00056863733,0.00018075237,ELL,56767.0,ELL,CEP,2
346022774,59.0,LS,6.534359551350296,0.7453622711632188,0.7385756878683324,4.655109629147773,0.0575440237298607,CEP,0.803,0.0,0.1503865366314418,0.76176,0.3093888,CEP,6650.0,CEP,CEP,2
362792232,40.0,ACF,2.2292215585134727,0.8706247535348505,1.6908077624921067,157.74976501207126,0.0785107351839542,CEP,0.87,0.0,0.0834370085753318,1.2457944,0.37696958,CEP,103275.0,CEP,CEP,2
362792232,40.0,LS,2.2371460963401866,0.9830492776975188,0.982990699362272,4.371167950408562,0.0785107351839542,CEP,0.87,0.0,0.0656295177492567,0.69836706,0.33324683,CEP,103271.0,CEP,CEP,2
362792232,41.0,ACF,2.222181646648096,0.8611061947380855,1.6552244376927638,156.1464720658803,0.0821366906166076,CEP,0.839,0.0,0.0810387462884267,0.9718724,0.36468405,CEP,103285.0,CEP,CEP,2
362792232,54.0,LS,2.2216427792385467,0.9761575221772792,0.9759718043096598,4.290643030846695,0.0740119162946939,CEP,0.854,0.0,0.0850492939418076,0.54580843,0.27596214,CEP,103291.0,CEP,CEP,2
362792232,81.0,ACF,2.2013728098181677,0.7344615058382008,1.3419114152918454,454.0842309726173,0.079863928258419,CEP,0.5640000000000001,0.06,0.1137024960148193,1.2485504,0.37900773,CEP,103299.0,Unconstrained,CEP,2
362792232,81.0,LS,2.21835678167209,0.879978364727972,0.8799138479213388,4.134558448091411,0.079863928258419,CEP,0.498,0.06,0.155402321732978,0.74024606,0.36186302,CEP,103298.0,Unconstrained,CEP,2
367761682,77.0,LS,11.691114331151196,0.8934591239216736,0.2151711830036413,1.7506667360539725,0.0550577277317643,CEP,0.847,0.0,0.1189976873724863,0.024693383,0.0031604604,CEP,73846.0,CEP,CEP,2
390542554,10.0,LS,2.877920133629644,0.8918919112044077,0.8912750989508985,4.087695260379405,0.3875594958662987,CEP,0.954,0.0,0.0737258597779639,1.1140293,0.3192711,CEP,130041.0,CEP,CEP,2
390542554,37.0,LS,2.865370128653858,0.8771168068698735,0.8754419252929817,4.314372295211797,0.4139793664216995,CEP,0.591,0.0,0.089363303430435,0.96344596,0.39250603,CEP,130060.0,Unconstrained,CEP,2
390542554,63.0,LS,2.88325412743303,0.7278342666295836,0.7278073071314428,4.473878430446348,0.5391804873943329,CEP,0.672,0.0,0.09320772500174,0.5219877,0.34717715,CEP,130069.0,Unconstrained,CEP,2
