angDist,GaiaDR3,TIC,ra,dec,Tmag,Gmag,OID,RAJ2000,DEJ2000,Name,V,Type,l_max,max,u_max,n_max,f_min,l_min,min,u_min,n_min,Epoch,u_Epoch,l_Period,Period,u_Period,Sp,n_OID
0.070272,5880234334796017536,40823661,227.80841912742,-57.41324595795,9.842,10.6628,99706,227.80844,-57.41323,ASAS J151114-5724.8,0,GCAS,,11.19,,V,,,11.97,,V,,,,,,OBe,B
0.070502,2005958913637157760,395232198,335.29053442611,55.55105679961,9.406,9.50662,8100038,335.29056,55.55107,Gaia DR3 2005958913637157760,0,DSCT|GDOR|SXPHE,,9.47,,G,,,9.53,,G,,,,2.70717,,B,
0.070512,2178216823368673408,260532127,325.8519212185085,57.02313100559637,8.676,8.82156,8005882,325.85193,57.02315,Gaia DR3 2178216823368673408,0,ACV|roAm|roAp|SXARI,,8.81,,G,,,8.84,,G,,,,,,B,
0.070689,5933980456100090368,7038369,246.58807950534845,-51.79895499744907,9.535,9.57482,683870,246.5881,-51.79894,SAO 243803,0,BCEP,,9.63,,V,,,9.67,,V,2452723.786,,,0.224256,,B2IV,B
0.070726,2012903360351076992,272045538,355.53801958119,61.7781354567,10.794,11.3641,8247568,355.53806,61.77814,Gaia DR3 2012903360351076992,0,E,,11.27,,G,,,11.5,,G,,,,18.163,,B,
0.0708,5335285207820324608,306297115,179.00890042856605,-60.21072053124348,8.36,8.17786,4818842,179.00894,-60.21072,Gaia DR3 5335285207820324608,0,BCEP,,8.15,,G,,,8.2,,G,,,,,,B,
0.070809,5310820043289943424,373426882,140.00877356573,-53.57866814419,10.132,10.3275,428725,140.0088,-53.57868,GDS_J0920021-533443,0,VAR,,10.38,,r,Y,,0.39,,r,,,,,,OB,B
0.07113,5832957602573458304,343376491,240.9352526694884,-60.49847724219399,7.326,7.23285,36943,240.93529,-60.49847,MQ TrA,0,GCAS,,6.83,,V,,,7.3,,V,,,,,,B3IVe,B
0.071414,3377554103956668800,319571497,94.99949695347726,23.835591210090104,9.495,9.61565,698027,94.99949,23.83561,EPIC 202060176,0,VAR,,9.7,,Kp,Y,,0.002,,Kp,,,,9.901504,,,
0.071679,5528405800890821376,180730928,129.53738653585253,-40.08107139080433,7.524,7.54281,272444,129.53741,-40.08108,V0454 Vel,0,EA,,7.55,,V,,,7.66,,V,2452717.769,,,1.13492,,B3V,B
0.072006,5867709832216848128,210096523,211.60480454688133,-59.71590534001747,5.281,6.35999,45168,211.60483,-59.71589,NSV 6544,1,,,6.37,,V,,,6.43,,V,,,,,,B0Ia,B
0.072217,5865381100939806976,319376730,204.9169705427226,-63.27856936118049,7.956,9.31022,5172771,204.91701,-63.27856,Gaia DR3 5865381100939806976,0,BCEP,,9.29,,G,,,9.33,,G,,,,0.1533598,,B,
0.072348,5934833191696980864,314529804,244.59546040288765,-51.44008918575455,10.043,10.194,5838147,244.59547,-51.44007,Gaia DR3 5934833191696980864,0,BCEP,,10.13,,G,,,10.28,,G,,,,0.0217573,,B,
0.072354,5529669174115124352,184072865,126.65969176582,-38.68921580952,10.068,10.8114,3802958,126.65971,-38.68923,Gaia DR3 5529669174115124352,0,BE|GCAS|SDOR|WR,,10.79,,G,,,10.83,,G,,,,,,O,
0.072624,2131713906777354368,48217508,283.11980884409,48.4038963469,10.01,9.80446,251629,283.11978,48.40389,BD+48 2781,0,SPB+BCEP,,9.7,,V,,,,,,,,,,,B2.5V,B
0.072632,458379701779206400,264731122,34.70007084832,57.28551863787,9.029,9.26785,26189,34.70004,57.28553,V0665 Per,0,BCEP,,9.51,,V,Y,,0.1,,V,2453195.86,,,0.242323,,B2V,B
0.072788,3377553970816489984,319571513,94.96219426013906,23.8257658051838,9.401,9.50292,618989,94.96221,23.82578,EPIC 202060171,0,EA,,9.6,,Kp,Y,,0.019,,Kp,,,,1.64603,,,B
0.072819,2014060802491139200,268621754,347.81170082965,60.57269377261,8.786,9.35021,8195220,347.81174,60.5727,Gaia DR3 2014060802491139200,0,BE|GCAS|SDOR|WR,,9.32,,G,,,9.38,,G,,,,,,O,
0.072938,458372795471717888,264613043,34.62430147708934,57.15087308127002,9.176,9.32496,26135,34.62433,57.15086,V0611 Per,0,BCEP,,9.35,,V,Y,,0.04,,V,,,,,,B0.5I,B
0.072949,4104523743222385280,433382888,278.7398776622413,-13.870118848879066,9.277,9.45401,225619,278.73987,-13.8701,HD 171344,0,BCEP,,9.52,,V,Y,,0.015,,V,,,,0.184661,,B2Ia,B
0.073312,5936090178365579136,58973594,253.36901392640613,-52.630948527490965,9.373,9.37076,6088815,253.369,-52.63093,Gaia DR3 5936090178365579136,0,ACV|roAm|roAp|SXARI,,9.36,,G,,,9.39,,G,,,,,,B,
0.073383,2171550656174503296,277953269,324.43063005721166,51.49952174993509,8.613,8.65354,7989374,324.43066,51.49953,Gaia DR3 2171550656174503296,0,BE|GCAS|SDOR|WR,,8.55,,G,,,8.7,,G,,,,,,B,
0.073727,5337257800381131776,467051092,167.55153088655968,-60.86308753228858,9.036,9.20704,92924,167.55157,-60.86308,ASAS J111013-6051.8,0,EA,,9.27,,V,,,9.56,,V,2454908.675,,,5.38294,,B0V,B
0.073971,2006710189312865152,414282662,336.71561429699904,55.6346954497859,10.612,10.8138,8112335,336.71564,55.63471,Gaia DR3 2006710189312865152,0,DSCT|GDOR|SXPHE,,10.79,,G,,,10.84,,G,,,,6.5055,,B,
0.073993,5716652804425147904,349114265,114.20164182584,-19.0584627516,10.18,10.6227,421723,114.20163,-19.05848,GDS_J0736483-190330,0,VAR,,10.61,,r,Y,,0.14,,r,,,,,,OBe,B
0.074227,5337399980978398976,467817623,169.33105560250547,-61.51100751263551,9.455,9.61952,225495,169.33109,-61.51102,HD 98260,0,BCEP,,9.7,,V,Y,,0.028,,V,,,,0.221508,,B1/2Ib/II,B
0.074863,5254295559276699392,460864765,159.07420759086,-61.01255683047,8.036,9.08872,5792,159.07425,-61.01256,UZ Car,0,DCEP,,9.0,,V,,,9.62,,V,2434894.69,,,5.20466,,G0,B
0.074956,4045653829084535168,60433558,273.6755897232568,-33.1409026797582,8.639,8.42689,32086,273.67557,-33.14089,V4386 Sgr,0,EA+BCEP,,8.45,,V,,,8.67,,V,2452692.824,,,10.79824,,B1Ib/II,B
0.075066,5990434159009246848,15166556,244.5970895867956,-45.8403408495442,8.803,8.96668,225567,244.59709,-45.84032,HD 146442,0,BCEP,,9.04,,V,Y,,0.018,,V,,,,0.15215,,B2III,B
0.075177,2013832688190640128,269228628,349.30703432379,60.00774913564,10.348,10.6767,8205294,349.30707,60.00776,Gaia DR3 2013832688190640128,0,BCEP,,10.65,,G,,,10.7,,G,,,,,,B,
0.075186,2006219978921880192,421782795,334.6899963003,56.12607086858,8.521,8.80945,8550,334.69003,56.12608,GP Cep,0,E/WR+E:,,8.96,,V,,,9.07,,V,2431256.602,,,6.6883,,WN6+O8-B0III:+O+O,B
0.07523,2009688903736810240,319075697,350.142946718853,58.27762693636015,8.257,8.62388,7142,350.14297,58.27761,V0811 Cas,0,BE,,8.44,,V,,,8.71,,V,2448502.178,,,3.3869,,B0.5Vpe,B
0.07524,5715901567412202496,141457686,117.25952224488,-19.11356753548,8.95,9.52852,84827,117.25954,-19.11358,ASAS J074902-1906.8,0,DCEPS,,9.6,,V,Y,,0.31,,V,2451875.7,,,4.6441,,G5:I:,B
0.075244,2010254911712961280,314150303,345.9033187942429,58.30972703375691,9.335,9.61927,8182430,345.90335,58.30974,Gaia DR3 2010254911712961280,0,BCEP,,9.61,,G,,,9.64,,G,,,,0.367366,,B,
0.075277,5865990814504157056,329059929,211.3548639121177,-62.58845269702818,8.508,9.78547,97531,211.3549,-62.58844,ASAS J140525-6235.4,0,GCAS,,9.2,,V,,,9.81,,V,,,,,,B1:Vnne,B
0.075293,1835739120499213440,452335793,303.44520442112,26.75042438299,8.436,8.57583,38315,303.44522,26.75044,DR Vul,0,EA/DM,,8.65,,V,,,9.27,,V,2440300.668,,,2.2508645,,B8,B
0.075296,5350977643913585280,458991248,161.52428498086,-57.54752081569,7.784,8.94394,5777,161.52432,-57.54753,SX Car,0,DCEP,,8.66,,V,,,9.47,,V,2435074.336,,,4.86,,F5-G2Ib-II,B
0.075447,1999440080982286336,346010525,356.87502598425704,59.16123837427465,10.408,10.8457,8256831,356.87506,59.16125,Gaia DR3 1999440080982286336,0,E,,10.82,,G,,,10.9,,G,,,,2.65865,,B,
