TIC,class_raw,class_paper,class_tokens,reference,method,period,class_is_inferred,source_table,ra_deg,dec_deg,tic
43284243,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,257.05826,-35.00435,43284243
48217508,Rotation,ROT,ROT,2025ApJ...989..177C (Campelo+ 2025),visual,2.785,False,"ApJ 989,177 Table 2 (article HTML)",,,48217508
53327951,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,100.00659,-4.69874,53327951
81615536,Be=Y; signals=I/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,123.4402,-46.57868,81615536
95513457,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,2.0408163265306123,False,J/A+A/639/A81/table2 x tablea1,107.38901,-16.23451,95513457
95513457,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,107.38901,-16.23451,95513457
121689850,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.1494252873563218,False,J/AJ/163/226/table2,254.98716,-43.22079,121689850
129361218,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",,,129361218
140300162,Be=Y; signals=S/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,1.2345679012345678,False,J/AJ/163/226/table2,126.96036,-50.10002,140300162
148506724,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,5.88235294117647,False,J/A+A/639/A81/table2 x tablea1,106.64986,-12.39395,148506724
148506724,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,106.64986,-12.39395,148506724
152659955,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,4.219409282700422,False,J/A+A/639/A81/table2 x tablea1,259.36254,-35.53667,152659955
152659955,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,259.36254,-35.53667,152659955
167523976,SPB,PULS,PULS,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,100.60144,-65.74263,167523976
167523976,SPB,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,100.60144,-65.74263,167523976
168627067,Be=Y; signals=G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.684931506849315,False,J/AJ/163/226/table2,107.19998,-4.05745,168627067
177204351,Be=Y; signals=S,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,106.39672,-8.72889,177204351
177717406,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.4084507042253522,False,J/A+A/639/A81/table2 x tablea1,,,177717406
177860391,SLF?,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.998003992015968,False,J/A+A/639/A81/table2 x tablea1,107.53395,-11.80273,177860391
177860391,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,107.53395,-11.80273,177860391
177860391,Ambiguous variability,AMBIGUOUS,AMBIGUOUS,2025ApJ...989..177C (Campelo+ 2025),visual,,False,"ApJ 989,177 Table 7 (article HTML)",107.53395,-11.80273,177860391
179639066,SLF,SLF,SLF,2019ApJ...872L...9P (Pedersen+ 2019),visual+spectroscopy,,False,J/ApJ/872/L9/table1,80.75276,-67.18946,179639066
179639066,ACYG,PULS,PULS,2019MNRAS.485.3457B (Balona+ 2019),visual,,False,J/MNRAS/485/3457/table1,80.75276,-67.18946,179639066
195288472,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.1185682326621924,False,J/A+A/639/A81/table2 x tablea1,260.21941,-36.07238,195288472
195288472,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,260.21941,-36.07238,195288472
209829040,Be=Y; signals=S/L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7407407407407407,False,J/AJ/163/226/table2,210.96528,-59.46311,209829040
215511795,Be=Y; signals=L/F+/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.6535947712418301,False,J/AJ/163/226/table2,242.23062,-51.96199,215511795
216662610,SLF+SPB,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.6108735491753207,False,J/A+A/639/A81/table2 x tablea1,259.10972,-42.66781,216662610
216662610,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,259.10972,-42.66781,216662610
216875138,Be=Y; signals=I+/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,259.49877,-42.0606,216875138
220197273,EB,ECL,ECL,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.60790273556231,False,J/A+A/639/A81/table2 x tablea1,,,220197273
231154751,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.5246226558926663,False,J/A+A/639/A81/table2 x tablea1,,,231154751
234009943,SLF+SPB?,PULS,PULS|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,0.8244023083264632,False,J/A+A/639/A81/table2 x tablea1,100.66895,1.71618,234009943
234009943,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,100.66895,1.71618,234009943
234052684,SLF,SLF,SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,29.41176470588235,False,J/A+A/639/A81/table2 x tablea1,100.91102,3.93253,234052684
234052684,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,100.91102,3.93253,234052684
234230792,Be=Y; signals=S/I/H/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.7299270072992701,False,J/AJ/163/226/table2,101.98861,0.77611,234230792
234648113,SLF+rot?,ROT,ROT|SLF,2020A&A...639A..81B (Burssens+ 2020),visual+spectroscopy,1.3986013986013988,False,J/A+A/639/A81/table2 x tablea1,251.03004,-46.14162,234648113
234648113,SLF,SLF,SLF,2020A&A...640A..36B (Bowman+ 2020),visual+spectroscopy (SLF morphology fit),,True,J/A+A/640/A36/tablea2,251.03004,-46.14162,234648113
234752466,Be=Y; signals=S/I/H,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,,False,J/AJ/163/226/table2,250.92613,-45.46263,234752466
234806470,Be=Y; signals=L/G,BE,BE,2022AJ....163..226L (Labadie-Bartz+ 2022),visual,0.9174311926605504,False,J/AJ/163/226/table2,97.57348,2.84792,234806470
