angDist,ID,database,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,sector_list,filenames,TPfPloter,sector_TPfPloter,delta
0.042444,OGLE-GD-LPV-005398,4,212.82504166666664,-54.913222222222224,210850936,212.8250513342,-54.91321182393,0,,176-115203,14111800-5454474,0,,5896481543236659328,27057960,0,STAR,tmgaia2,tmgaia2,,,,,,,,14.992,0.08,12.1738,0.002499,9.825,0.43,vjk,,,,,,,,,,,,,,,,,,212.8250513342,-54.91321182393,-45.68179253258533,6.183282384003651,[65],['hlsp_tess-spoc_tess_phot_0000000210850936-s0065_tess_v1_lc.fits'],Gaia_TIC210850936_S65.dat,65,-2.911810000000001
0.051848,OGLE-GD-LPV-017690,4,275.2859583333333,-10.102027777777778,17218985,275.28594926072,-10.10201647997,0,,,18210863-1006071,0,J182108.62-100607.3,4154528363728058240,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.5192,0.07821,10.057,1.0,jhk,,,,,,,,,,,,,,,,,,275.28594926072,-10.10201647997,20.49250396931938,2.0344344839694344,[80],['hlsp_tess-spoc_tess_phot_0000000017218985-s0080_tess_v1_lc.fits'],Gaia_TIC17218985_S80.dat,80,-2.513174000000001
0.008439,OGLE-BLG-LPV-234009,4,257.3232083333333,-39.25263888888889,380306393,257.32320800698,-39.2526412193,0,,,17091756-3915095,0,J170917.59-391509.4,5973009747237147776,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.4427,0.014993,8.425,1.0,jhk,,,,,,,,,,,,,,,,,,257.32320800698,-39.2526412193,-12.741785397975612,0.4911012006564068,[66],['hlsp_tess-spoc_tess_phot_0000000380306393-s0066_tess_v1_lc.fits'],Gaia_TIC380306393_S66.dat,66,-3.170209999999999
0.120047,OGLE-GD-LPV-018937,4,279.0124166666667,4.338222222222222,106650004,279.01241898883,4.33818895635,0,,,18360297+0420175,0,J183602.96+042017.5,4283773584752267520,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.6568,0.023244,9.082,1.0,jhk,,,,,,,,,,,,,,,,,,279.01241898883,4.33818895635,35.051217151880785,5.395705586296003,[80],['hlsp_tess-spoc_tess_phot_0000000106650004-s0080_tess_v1_lc.fits'],Gaia_TIC106650004_S80.dat,80,-2.7067560000000004
0.075734,OGLE-GD-LPV-015960,4,253.91554166666663,-47.09427777777778,247429268,253.91552038253,-47.09426252642,0,,,16553973-4705392,0,J165539.77-470539.4,5939832125602954240,0,0,STAR,tmgaia2,tmgaia2,-0.958,0.399,-9.058,0.32,gaia2,-0.0603,0.2378,,,13.5576,0.030947,8.362,1.0,jhk,gaia2,,,,,,,,,,,4478.74,2219.0,2.098,0.4199,1684.6,2753.4,253.9155143229,-47.0943015264,-20.465975126849973,-2.336592467058383,[66],['hlsp_tess-spoc_tess_phot_0000000247429268-s0066_tess_v1_lc.fits'],Gaia_TIC247429268_S66.dat,66,-3.7868119999999994
0.162272,OGLE-BLG-LPV-232472,4,251.89225,-34.27152777777778,97550024,251.89223222777,-34.27157039363,0,,279-097981,16473414-3416174,0,J164734.15-341617.5,6026187803239282304,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,13.897,0.153,12.1396,0.01034,9.171,0.139,vjk,,,,,,,,,,,,,,,,,,251.89223222777,-34.27157039363,-11.515710861550517,6.987984855471325,[66],['hlsp_tess-spoc_tess_phot_0000000097550024-s0066_tess_v1_lc.fits'],Gaia_TIC97550024_S66.dat,66,-2.810281
0.123148,OGLE-GD-LPV-008899,4,233.4763333333333,-61.51272222222222,272116033,233.47630872683,-61.51275435376,0,,143-167285,15335432-6130459,0,J153354.35-613046.0,5827497599631533312,0,0,STAR,tmgaia2,tmgaia2,-5.327,0.375,-4.775,0.375,gaia2,0.4133,0.1789,17.601,0.699,11.8806,0.02355,9.987,0.028,rered,gaia2,,,,,,,,,,,2519.47,1531.49,0.4197,0.0811,894.25,2168.73,233.47626064116,-61.51277491133,-38.9205614673746,-4.505306408203898,[65],['hlsp_tess-spoc_tess_phot_0000000272116033-s0065_tess_v1_lc.fits'],Gaia_TIC272116033_S65.dat,65,-3.3026549999999997
0.088047,OGLE-GD-LPV-018464,4,277.862,-4.730583333333334,43006300,277.86197939921,-4.73059662467,0,,,18312688-0443500,0,J183126.88-044349.4,4257228758404003072,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.8917,0.038566,9.457,1.0,jhk,,,,,,,,,,,,,,,,,,277.86197939921,-4.73059662467,26.43943390403044,2.2729030733007525,[80],['hlsp_tess-spoc_tess_phot_0000000043006300-s0080_tess_v1_lc.fits'],Gaia_TIC43006300_S80.dat,80,-3.1210509999999996
0.136858,OGLE-GD-LPV-025468,4,288.61879166666665,11.789666666666667,209136333,288.61882844583,11.78967887236,0,,,19142851+1147230,0,J191428.53+114722.5,4312971975015213184,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,13.643,0.000782,8.918,1.0,jhk,,,,,,,,,,,,,,,,,,288.61882844583,11.78967887236,46.031156915473765,0.3288984570919244,"[80, 81]","['hlsp_tess-spoc_tess_phot_0000000209136333-s0080_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000209136333-s0081_tess_v1_lc.fits']",Gaia_TIC209136333_S80.dat,80,-3.6164859999999983
0.210649,OGLE-GD-LPV-019776,4,280.16879166666666,0.6412777777777777,108810330,280.16876457118,0.64122591482,0,,,18404051+0038286,1237656234178121399,J184040.50+003828.6,4272711363887135232,0,0,STAR,tmgaia2,tmgaia2,,,,,,,,,,14.6273,0.040642,9.76,1.0,jhk,,,,,,,,,,,,,,,,,,280.16876457118,0.64122591482,32.27552522422984,2.687039660210541,[80],['hlsp_tess-spoc_tess_phot_0000000108810330-s0080_tess_v1_lc.fits'],Gaia_TIC108810330_S80.dat,80,-4.570640000000001
