angDist,GaiaDR3,ra,dec,TIC,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg,l,b,num_counterparts,TIC_multiple_counterpart,sector_list,filenames
0.038021,4104008548895007488,276.68788842799,-14.92108185961,176799690,276.68788927939,-14.9210713303,0,5702-00481-1,376-115245,18264509-1455158,0,J182645.11-145515.6,4104008548895007488,6721290,0,STAR,tmgaia2,tmgaia2,-0.182,0.109,-2.355,0.1,gaia2,0.4741,0.0548,11.336,0.017,11.4282,0.00053,11.048,0.047,rered,gaia2,8903.0,127.0,,,,,7.942,,,,2004.76,230.96,0.5362,0.0578,205.33,256.59,276.68788846889,-14.92108147074,16.873586773587043,-1.4300961888581458,1,[176799690],,
0.038025,3120740692021227776,97.70799609532,0.9661301469,234823787,97.70800664197,0.96612953979,0,0146-00469-1,455-019571,06304991+0057580,0,J063049.92+005758.2,3120740692021227776,35567051,0,STAR,tmgaia2,tmgaia2,-2.377,0.071,0.126,0.069,gaia2,0.4767,0.0382,10.64,0.011,10.5918,0.001816,10.25,0.053,rered,gaia2,8804.0,148.0,,,,,10.749,,,,1983.6,154.425,0.4665,0.0654,142.73,166.12,97.70799640724,0.96613008164,-150.28345087093183,-4.141017220698571,1,[234823787],,
0.038041,4258196951439446400,281.59018226668,-4.22867584856,225902725,281.59018525289,-4.22866571004,0,5122-00615-1,429-079914,18462163-0413430,0,J184621.63-041342.8,4258196951439446400,0,0,STAR,tmgaia2,tmgaia2,-0.685,0.077,-2.266,0.073,gaia2,0.3662,0.0459,12.028,0.031,11.7276,0.000193,11.087,0.031,rered,gaia2,8656.0,123.0,,,,,14.396,,,,2539.69,314.25,0.901,0.0376,277.1,351.4,281.59018229717,-4.2286754675,28.590137507105275,-0.7999931476900441,1,[225902725],,
0.038043,4094739017361337088,273.6431626355468,-19.056351709173544,118371538,273.64315955988,-19.05634154938,0,6272-00348-1,355-128042,18143435-1903227,0,J181434.36-190322.9,4094739017361337088,9373381,0,STAR,tmgaia2,tmgaia2,0.643,0.106,-2.278,0.087,gaia2,0.6719,0.0561,8.54,0.003,8.47402,0.000483,8.496,0.022,rered,gaia2,12871.0,150.0,,,,,,,,,1436.52,119.29,0.1625,0.0238,109.64,128.94,273.64316249018,-19.05635135756,11.853566930798005,-0.8105840611217318,1,[118371538],,
0.038054,4096153470403781120,275.35393956935,-18.47312826912,167049260,275.35393651329,-18.47311810387,0,6269-01156-1,358-142626,18212494-1828232,0,J182124.92-182823.4,4096153470403781120,9420112,0,STAR,tmgaia2,tmgaia2,0.672,0.111,-2.263,0.094,gaia2,0.3666,0.085,10.194,0.007,9.77548,0.000601,9.137,0.067,rered,gaia2,8135.0,124.0,,,,,35.435,,,,2573.24,654.95,0.8178,0.0857,506.51,803.39,275.35393956606,-18.47312784855,13.134701213693264,-1.961108289037963,1,[167049260],,
0.038069,510444497932279680,18.515196228456848,60.88311038210319,53968952,18.51521618613,60.88311456718,5768,4030-00320-1,755-014297,01140365+6052592,0,J011403.65+605259.2,510444497932279680,0,0,STAR,tmgaia2,tmgaia2,-2.168,0.057,-0.935,0.066,gaia2,1.2174,0.0499,7.142,0.023,7.10681,0.000556,7.105,0.046,rered,gaia2,,,,,,,,,,,803.869,32.526,0.2632,0.0518,31.235,33.817,18.51519699985,60.8831105415,125.6820071294238,-1.8677817401920511,1,[53968952],"[24, 18, 58]","['hlsp_tess-spoc_tess_phot_0000000053968952-s0024_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000053968952-s0018_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000053968952-s0058_tess_v1_lc.fits']"
0.038069,4057204336093939328,266.89950060446,-29.59493305057,126053338,266.89950319551,-29.59492271868,0,6840-00968-1,303-147497,17473587-2935416,0,J174735.90-293541.7,4057204336093939328,14613795,0,STAR,tmgaia2,tmgaia2,-0.497,0.09,-2.318,0.067,gaia2,0.4789,0.0489,10.378,0.013,10.1376,0.000795,9.529,0.079,rered,gaia2,10254.0,126.0,,,,,21.808,,,,1990.46,203.755,1.0105,0.0934,183.5,224.01,266.89950073435,-29.59493269879,-0.3390164216310267,-0.7107243963410669,1,[126053338],,
0.038079,5835843683211741824,238.1242973875,-57.75467090081,82442253,238.12431714662,-57.75467003957,0,,162-151060,15522984-5745168,0,J155229.85-574516.6,5835843683211741824,29044022,0,STAR,tmgaia2,tmgaia2,-2.359,0.046,-0.19,0.045,gaia2,0.5817,0.0322,12.194,0.069,11.9526,0.000228,11.496,0.011,rered,gaia2,7125.0,122.0,,,,,5.803,,,,1642.18,89.17,0.3472,0.0132,84.43,93.91,238.12429811196,-57.75467085716,-34.764372965542265,-2.948851344396141,1,[82442253],,
0.038085,5966509748041919616,253.548494315404,-41.84925897363968,339567904,253.5484966381,-41.84924853699,0,7876-02229-1,241-108162,16541164-4150572,0,J165411.60-415057.5,5966509748041919616,0,0,STAR,tmgaia2,tmgaia2,-0.373,0.091,-2.346,0.071,gaia2,0.4839,0.0548,6.368,0.002,6.36369,0.001181,5.042,0.6,rered,gaia2,,,,,,,,,,,1962.53,221.175,1.351,0.1288,197.18,245.17,253.54849448246,-41.84925863873,-16.551265472441045,1.1648446412749152,1,[339567904],"[12, 39]","['hlsp_tess-spoc_tess_phot_0000000339567904-s0012_tess_v1_lc.fits', 'hlsp_tess-spoc_tess_phot_0000000339567904-s0039_tess_v1_lc.fits']"
0.038085,4256884168929463424,279.04998521816,-4.29695325505,173288430,279.04998246855,-4.29694303728,0,,429-075184,18361199-0417490,0,J183611.99-041748.9,4256884168929463424,2461769,0,STAR,tmgaia2,tmgaia2,0.614,0.085,-2.279,0.081,gaia2,0.4929,0.0501,11.749,0.057,11.2634,0.001127,10.488,0.017,rered,gaia2,7053.0,123.0,,,,,17.113,,,,1925.65,194.315,0.8146,0.022,175.37,213.26,279.04998512147,-4.29695284818,27.36992417496201,1.421023315188646,1,[173288430],,
